state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
SC,7164788,149,15,8.018282105803841,0.4067748194920724,0.16666666666666666,3.781760659234896e-07,7164620.076180959,100.23024023120443,67.69357880813097,165.21426770031954
RJ,17264943,421,22,19.74772098519125,0.4341917577433197,0.16666666666666666,4.455143421681228e-08,17264469.095329337,292.28673765422235,181.61793300815629,473.1354926900572
BR,217026005,2987,31,193.19386749222232,0.4186385279410259,0.16666666666666666,3.367073898910465e-09,217022388.89083615,2176.7572856667953,1439.3518780900013,3615.3784211599764
RS,11377239,190,17,8.896651876549948,0.4307488790429728,0.16666666666666666,1.207286810828603e-07,11377032.490688385,127.13682893440462,79.37248267999964,205.13575255556975
BA,14873064,108,21,3.796136030949424,0.3664018066547669,0.16666666666666666,6.140581154169668e-08,14872948.408917096,63.426925231095744,52.16415766963954,114.67779033570368
SP,45919049,1052,31,85.65595453580245,0.3869255461308225,0.16666666666666666,1.5438180471187266e-08,45917816.76808049,701.7510082563333,530.4809112469295,1231.5230129377355
CE,9132078,237,11,29.47016777638157,0.4401731511925585,0.16666666666666666,1.09504101914135e-06,9131756.1108251,203.79363953827968,118.09553535976583,311.8891748980472
MG,21168791,153,19,22.984370019063288,0.4268059157242721,0.16666666666666666,3.843691909083434e-08,21168593.986746974,120.39742896922395,76.61582405382221,196.1995899161284
DF,3015268,201,20,29.577871428795163,0.39451486333481295,0.16666666666666666,5.083471869618825e-07,3015014.065047132,147.30065193679087,106.63430093077605,252.40214986183074
PR,11433957,106,15,8.399864647574041,0.3437383618914213,0.16666666666666666,3.7022155006030954e-07,11433843.259034662,60.64416368898927,53.09680164911048,109.5078680542368
PB,4018127,6,15,,,,,,,,
ES,4018650,48,22,,,,,,,,
MS,2778986,25,13,,,,,,,,
TO,1572866,8,9,,,,,,,,
RO,1777225,6,7,,,,,,,,
PE,9557071,48,15,,,,,,,,
PA,8602865,13,9,,,,,,,,
GO,7018354,38,15,,,,,,,,
AC,881935,23,10,,,,,,,,
SE,2298696,16,13,,,,,,,,
MT,3484466,11,7,,,,,,,,
AP,845731,2,7,,,,,,,,
RN,3506853,19,15,,,,,,,,
AL,3337357,11,19,,,,,,,,
AM,4144597,67,14,,,,,,,,
RR,605761,10,6,,,,,,,,
MA,7075181,10,7,,,,,,,,
PI,3273227,9,8,,,,,,,,
