state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
SP,45919049,28698,67,28663.68640639274,0.2783778870742634,0.16666666666666666,2.177745449387979e-07,45874395.96939798,17911.93916681543,26741.09143519105,44643.03060200648
CE,9132078,7409,47,10421.522271411632,0.3022906849131757,0.16666666666666666,1.0950410191415355e-06,9118989.592561517,5872.505308029999,7215.902130451777,13078.40743848178
RO,1777225,502,43,59.31497306328574,0.2886505748224332,0.16666666666666666,7.649515101632845e-07,1776614.160337679,258.86546306653736,351.9741992538028,609.48017137269
RS,11377239,1529,53,2021.6427108632888,0.2483544758439493,0.16666666666666666,8.789478712717556e-07,11374943.65888019,761.5298023979457,1533.8113174119017,2285.341119809848
AL,3337357,1045,55,102.13583162967528,0.31411381572410435,0.16666666666666666,4.528250642263893e-08,3336228.8899894874,529.5213128706397,598.5886976434633,1127.958886624316
PI,3273227,600,44,28.328472917748986,0.2822610879810975,0.16666666666666666,4.959874151562012e-07,3272584.497888551,264.0452222932338,378.45688915540984,640.8786320496943
ES,4018650,2688,58,364.8913844011132,0.2680744951694214,0.16666666666666666,8.344678123052216e-07,4015468.908226825,1204.6516547022345,1976.4401184728845,3177.738339101198
PB,4018127,926,45,23.042341001516252,0.2830962352822017,0.16666666666666666,5.451862993144886e-07,4017120.662343805,415.09384682589416,591.2438093700903,1004.1470284066793
AC,881935,404,46,30.043485249266798,0.2343009226134547,0.16666666666666666,6.0250211593388175e-06,881535.0046092172,119.1794672783024,280.81592350439144,394.68171374653235
RJ,17264943,9453,58,7291.069402417528,0.2763227456765444,0.16666666666666666,5.792083993558507e-07,17250330.24553367,5801.230565663679,8811.523900666167,14602.754466329849
SC,7164788,2394,51,1490.643081681783,0.2575183537687753,0.16666666666666666,1.3957147092140058e-06,7161884.0434343275,1030.5975457270574,1873.3590199419425,2893.9565656689992
GO,7018354,781,51,41.29183553252172,0.23542249459859674,0.16666666666666666,1.0778215193074741e-06,7017506.592056818,252.80689130428658,594.6010518773535,839.8434102103224
TO,1572866,137,45,52.3005177934013,0.2353150345331904,0.16666666666666666,1.0288678697387872e-06,1572747.7837917858,35.630180668818284,82.58602754512383,116.59793692313751
SE,2298696,280,49,63.47320758844868,0.2471814916784748,0.16666666666666666,7.761487048274297e-07,2298415.50732281,92.5567268849682,187.9359503048492,278.70854726662543
PA,8602865,3359,45,109.71735894271806,0.2977673800339594,0.16666666666666666,5.0404931535685e-07,8599257.579749152,1590.2743767930174,2017.1458740574985,3603.083982637158
BA,14873064,2867,57,241.8157341286252,0.2507793986103238,0.16666666666666666,6.286729754818197e-07,14869698.900814693,1134.6324280191334,2230.4667572881167,3355.7488919078387
MA,7075181,3506,43,540.3766316044173,0.2886243693155512,0.16666666666666666,1.4133914029902546e-06,7070699.965765103,1898.4068488206315,2582.627386072896,4471.034234893528
BR,217026005,86621,67,113994.89209597721,0.29691345264523605,0.16666666666666666,4.6077427449304726e-08,216878129.3678041,64845.777237761016,83029.85495808061,147865.6321958416
PE,9557071,6876,51,958.5298914723069,0.2829872357001596,0.16666666666666666,9.605600326004702e-07,9548640.16465562,3468.668687091296,4962.166657290874,8421.655203950844
RN,3506853,1177,51,254.11545554359677,0.2399145682639864,0.16666666666666666,2.85155950363474e-06,3505502.4585705423,419.09736554453315,931.4440639133772,1340.5414294579105
DF,3015268,1423,56,1635.7138492551005,0.24057892124946376,0.16666666666666666,3.3164547894250137e-06,3013248.9240240706,626.7724661732235,1392.3035097566733,2009.075975929897
MG,21168791,1827,55,1461.2407763106103,0.2485161476488273,0.16666666666666666,4.723935344252772e-07,21166059.63648019,906.1699761389984,1825.193543679836,2721.363519818834
RR,605761,426,42,79.35160451359421,0.2481977814586917,0.16666666666666666,1.0322705692893968e-05,605190.0447092747,191.5725937909965,379.3826969341706,564.7021982019339
PR,11433957,1423,51,2089.305319726017,0.25315307564616396,0.16666666666666666,8.745878614026623e-07,11431557.612590235,826.1364508404815,1573.2509589205836,2389.387409761064
MT,3484466,302,43,55.89531728328015,0.2183807356424776,0.16666666666666666,2.8698802054603267e-06,3484107.771087955,92.44892335234087,265.7799886926008,348.2289120449421
AP,845731,1080,43,274.1417289972801,0.26385376713256425,0.16666666666666666,8.57757924300398e-06,844459.7963443131,472.2091629948158,798.9944926919376,1263.9493310159885
MS,2778986,255,49,8.2840460258872,0.20934904836343826,0.16666666666666666,2.934754265333797e-06,2778693.839749669,66.04664792242558,226.11360240804544,284.00460931366814
AM,4144597,5254,50,1524.9616643177271,0.27937570130759365,0.16666666666666666,2.412779819123548e-06,4137669.4035123168,2797.3190071812983,4130.277480502143,6917.596487683439
